# STCG residual history
# residual tolerance target = 9.500000e-04
# initial residual norm     = 7.571146e+00
# iters            rel. res.
# initial residual norm     = 8.487472e-04
# iters            rel. res.
      0            1.000000e+00
      1            1.158412e+00
# trust-region boundary encountered
# STCG residual history
# residual tolerance target = 9.500000e-04
# initial residual norm     = 1.003357e-03
# iters            rel. res.
      0            1.000000e+00
      1            1.119902e+00
# trust-region boundary encountered
# STCG residual history
# residual tolerance target = 9.500000e-04
# initial residual norm     = 1.030056e-03
# iters            rel. res.
      0            1.000000e+00
      1            1.011139e+00
# trust-region boundary encountered
# STCG residual history
# residual tolerance target = 9.500000e-04
# initial residual norm     = 1.112752e-03
# iters            rel. res.
      0            1.000000e+00
      1            9.345931e-01
# trust-region boundary encountered
# STCG residual history
# residual tolerance target = 9.500000e-04
# initial residual norm     = 1.092245e-03
# iters            rel. res.
      0            1.000000e+00
      1            1.025687e+00
# trust-region boundary encountered
# STCG residual history
# residual tolerance target = 9.500000e-04
# initial residual norm     = 1.127751e-03
# iters            rel. res.
      0            1.000000e+00
      1            9.720253e-01
# trust-region boundary encountered
# STCG residual history
# residual tolerance target = 9.500000e-04
# initial residual norm     = 1.139383e-03
# iters            rel. res.
      0            1.000000e+00
      1            9.889497e-01
# trust-region boundary encountered
# STCG residual history
# residual tolerance target = 9.500000e-04
# initial residual norm     = 1.128277e-03
# iters            rel. res.
      0            1.000000e+00
      1            9.962972e-01
# trust-region boundary encountered
# STCG residual history
# residual tolerance target = 9.500000e-04
# initial residual norm     = 1.153652e-03
# iters            rel. res.
      0            1.000000e+00
      1            9.954396e-01
# trust-region boundary encountered
# STCG residual history
# residual tolerance target = 9.500000e-04
# initial residual norm     = 1.097491e-03
# iters            rel. res.
      0            1.000000e+00
      1            9.894831e-01
# trust-region boundary encountered
# STCG residual history
# residual tolerance target = 9.500000e-04
# initial residual norm     = 1.149227e-03
# iters            rel. res.
      0            1.000000e+00
      1            9.909504e-01
# trust-region boundary encountered
# STCG residual history
# residual tolerance target = 9.500000e-04
# initial residual norm     = 1.140627e-03
# iters            rel. res.
      0            1.000000e+00
      1            1.011899e+00
# trust-region boundary encountered
# STCG residual history
# residual tolerance target = 9.500000e-04
# initial residual norm     = 1.140674e-03
# iters            rel. res.
      0            1.000000e+00
      1            1.028969e+00
# trust-region boundary encountered
# STCG residual history
# residual tolerance target = 9.500000e-04
# initial residual norm     = 1.145005e-03
# iters            rel. res.
      0            1.000000e+00
      1            9.930874e-01
# trust-region boundary encountered
# STCG residual history
# residual tolerance target = 9.500000e-04
# initial residual norm     = 1.129789e-03
# iters            rel. res.
      0            1.000000e+00
      1            9.944076e-01
# trust-region boundary encountered
# STCG residual history
# residual tolerance target = 9.500000e-04
# initial residual norm     = 1.130640e-03
# iters            rel. res.
      0            1.000000e+00
      1            9.941140e-01
# trust-region boundary encountered
# STCG residual history
# residual tolerance target = 9.500000e-04
# initial residual norm     = 1.118556e-03
# iters            rel. res.
      0            1.000000e+00
      1            1.001703e+00
# trust-region boundary encountered
# STCG residual history
# residual tolerance target = 9.500000e-04
# initial residual norm     = 1.111592e-03
# iters            rel. res.
      0            1.000000e+00
      1            1.004461e+00
# trust-region boundary encountered
# STCG residual history
# residual tolerance target = 9.500000e-04
# initial residual norm     = 1.119607e-03
# iters            rel. res.
      0            1.000000e+00
      1            9.957971e-01
# trust-region boundary encountered
  1.294418e-01
     23            1.233940e-01
     24            1.220382e-01
     25            1.168078e-01
# GCROT residual history
# residual tolerance target = 1.000000e-04
# initial residual norm     = 3.712648e+00
# iters            rel. res.
      0            9.632092e-01
      1            7.583221e-01
      2            7.093805e-01
      3            6.177411e-01
      4            6.127800e-01
      5            5.785728e-01
      6            5.771294e-01
      7            5.466504e-01
      8            5.459864e-01
      9            4.782664e-01
     10            4.227057e-01
     11            4.153509e-01
     12            3.841962e-01
     13            3.778639e-01
     14            3.578216e-01
     15            3.449499e-01
     16            3.339093e-01
     17            3.121253e-01
     18            2.984016e-01
     19            2.362446e-01
     20            2.207713e-01
     21            2.084324e-01
     22            1.884268e-01
     23            1.884082e-01
     24            1.689505e-01
     25            1.681900e-01
# GCROT residual history
# residual tolerance target = 1.000000e-04
# initial residual norm     = 1.360341e+00
# iters            rel. res.
      0            3.661057e-01
      1            3.507203e-01
      2            3.256614e-01
      3            2.917315e-01
      4            2.858191e-01
      5            2.705775e-01
      6            2.687254e-01
      7            2.640493e-01
      8            2.634603e-01
      9            2.523356e-01
     10            2.515988e-01
     11            2.513082e-01
     12            2.115467e-01
     13            2.111302e-01
     14            1.991941e-01
     15            1.957683e-01
     16            1.942661e-01
     17            1.838173e-01
     18            1.803836e-01
     19            1.378730e-01
     20            1.297037e-01
     21            1.217301e-01
     22            8.716649e-02
     23            8.650293e-02
     24            7.451091e-02
     25            6.607643e-02
# Subspace cleared!
# GCROT residual history
# residual tolerance target = 9.500000e-04
# initial residual norm     = 2.253938e+00
# iters            rel. res.
      0            1.000000e+00
      1            9.029220e-01
      2            7.657443e-01
      3            7.392712e-01
      4            6.767947e-01
      5            5.171227e-01
      6            5.014424e-01
      7            4.318942e-01
      8            4.297714e-01
      9            3.307818e-01
     10            3.272360e-01
     11            3.238560e-01
     12            2.910735e-01
     13            2.728918e-01
     14            2.494585e-01
     15            2.423589e-01
     16            2.007946e-01
     17            1.874512e-01
     18            1.799944e-01
     19            1.743639e-01
     20            1.691726e-01
     21            1.630106e-01
     22            1.539247e-01
     23            1.335089e-01
     24            1.301764e-01
     25            1.186442e-01
# GCROT residual history
# residual tolerance target = 9.500000e-04
# initial residual norm     = 3.810500e+00
# iters            rel. res.
      0            8.236051e-01
      1            8.111574e-01
      2            7.692589e-01
      3            7.606722e-01
      4            6.092665e-01
      5            5.969954e-01
      6            5.800722e-01
      7            5.664454e-01
      8            5.540090e-01
      9            5.411571e-01
     10            5.326109e-01
     11            4.708852e-01
     12            4.682786e-01
     13            4.642731e-01
     14            4.623738e-01
     15            4.595571e-01
     16            4.533249e-01
     17            3.499126e-01
     18            3.420554e-01
     19            3.364766e-01
     20            3.119704e-01
     21            3.119152e-01
     22            2.835297e-01
     23            2.687371e-01
     24            2.641265e-01
     25            2.502119e-01
# GCROT residual history
# residual tolerance target = 1.000000e-04
# initial residual norm     = 2.811368e+00
# iters            rel. res.
      0            9.967626e-01
      1            8.738359e-01
      2            6.887912e-01
      3            6.832072e-01
      4            6.207466e-01
      5            5.851183e-01
      6            5.533008e-01
      7            4.876308e-01
      8            4.851728e-01
      9            3.511763e-01
     10            3.049654e-01
     11            2.814674e-01
     12            2.753469e-01
     13            2.624878e-01
     14            2.141649e-01
     15            2.141380e-01
     16            2.141114e-01
     17            1.992627e-01
     18            1.977785e-01
     19            1.863350e-01
     20            1.862794e-01
     21            1.862353e-01
     22            1.757281e-01
     23            1.739785e-01
     24            1.621564e-01
     25            1.602406e-01
# GCROT residual history
# residual tolerance target = 1.000000e-04
# initial residual norm     = 1.127232e+00
# iters            rel. res.
      0            7.723548e-01
      1            7.548312e-01
      2            7.052658e-01
      3            6.866252e-01
      4            6.499338e-01
      5            6.426929e-01
      6            6.374140e-01
      7            6.165824e-01
      8            5.914539e-01
      9            5.747688e-01
     10            5.545799e-01
     11            5.516442e-01
     12            5.327062e-01
     13            5.243950e-01
     14            4.897769e-01
     15            4.892128e-01
     16            4.888819e-01
     17            4.652324e-01
     18            4.651731e-01
     19            4.032331e-01
     20            3.842295e-01
     21            3.813829e-01
     22            3.292477e-01
     23            3.292377e-01
     24            2.929020e-01
     25            2.910606e-01
# GCROT residual history
# residual tolerance target = 1.000000e-04
# initial residual norm     = 1.381845e+00
# iters            rel. res.
      0            7.427702e-01
      1            7.236462e-01
      2            6.167472e-01
      3            6.130048e-01
      4            4.614613e-01
      5            3.865606e-01
      6            3.646747e-01
      7            3.433370e-01
      8            3.361055e-01
      9            2.970748e-01
     10            2.908916e-01
     11            2.864812e-01
     12            2.416225e-01
     13            2.413232e-01
     14            2.145711e-01
     15            2.080177e-01
     16            2.038133e-01
     17            1.804914e-01
     18            1.777832e-01
     19            1.575020e-01
     20            1.530164e-01
     21            1.513954e-01
     22            1.472030e-01
     23            1.458220e-01
     24            1.299123e-01
     25            1.264106e-01
# Subspace cleared!
# GCROT residual history
# residual tolerance target = 9.500000e-04
# initial residual norm     = 1.344617e+01
# iters            rel. res.
      0            1.000000e+00
      1            9.998775e-01
      2            2.992825e-01
      3            2.985638e-01
      4            1.830534e-01
      5            1.809148e-01
      6            1.060824e-01
      7            1.009509e-01
      8            9.447679e-02
      9            8.428555e-02
     10            8.013979e-02
     11            7.773367e-02
     12            7.375951e-02
     13            7.258678e-02
     14            7.187751e-02
     15            7.085546e-02
     16            6.772704e-02
     17            6.262378e-02
     18            5.662359e-02
     19            4.920845e-02
     20            4.513225e-02
     21            4.332437e-02
     22            4.152974e-02
     23            3.836187e-02
     24            3.742665e-02
     25            3.726116e-02
# GCROT residual history
# residual tolerance target = 9.500000e-04
# initial residual norm     = 1.292457e+01
# iters            rel. res.
      0            9.774867e-01
      1            9.772166e-01
      2            7.036582e-01
      3            7.035978e-01
      4            4.153815e-01
      5            4.150572e-01
      6            4.002071e-01
      7            3.991381e-01
      8            3.981015e-01
      9            3.886810e-01
     10            3.877401e-01
     11            3.606728e-01
     12            3.380447e-01
     13            3.371154e-01
     14            3.362116e-01
     15            3.234430e-01
     16            3.134643e-01
     17            3.107329e-01
     18            3.012671e-01
     19            3.003968e-01
     20            2.961173e-01
     21            2.931481e-01
     22            2.834806e-01
     23            2.807576e-01
     24            2.783764e-01
     25            2.706630e-01
# GCROT residual history
# residual tolerance target = 1.000000e-04
# initial residual norm     = 6.944294e+00
# iters            rel. res.
      0            8.872653e-01
      1            8.287738e-01
      2            6.491964e-01
      3            6.127355e-01
      4            4.719932e-01
      5            4.489683e-01
      6            4.471871e-01
      7            4.228228e-01
      8            4.199706e-01
      9            2.843970e-01
     10            2.757560e-01
     11            2.699105e-01
     12            2.466773e-01
     13            2.372765e-01
     14            2.338153e-01
     15            2.296774e-01
     16            2.258745e-01
     17            2.230360e-01
     18            2.161697e-01
     19            2.066268e-01
     20            1.999952e-01
     21            1.962037e-01
     22            1.866150e-01
     23            1.863269e-01
     24            1.826321e-01
     25            1.699329e-01
# GCROT residual history
# residual tolerance target = 1.000000e-04
# initial residual norm     = 4.010354e+00
# iters            rel. res.
      0            5.245111e-01
      1            4.743280e-01
      2            4.074952e-01
      3            4.022339e-01
      4            3.274218e-01
      5            3.250367e-01
      6            3.229248e-01
      7            3.078960e-01
      8            2.947195e-01
      9            2.695705e-01
     10            2.371778e-01
     11            2.293874e-01
     12            1.926654e-01
     13            1.819210e-01
     14            1.796705e-01
     15            1.784187e-01
     16            1.774112e-01
     17            1.737999e-01
     18            1.668294e-01
     19            1.469520e-01
     20            1.462114e-01
     21            1.455359e-01
     22            1.405572e-01
     23            1.405481e-01
     24            1.380926e-01
     25            1.366395e-01
# GCROT residual history
# residual tolerance target = 1.000000e-04
# initial residual norm     = 5.656059e+00
# iters            rel. res.
      0            7.413957e-01
      1            6.737875e-01
      2            5.431198e-01
      3            5.324820e-01
      4            4.091472e-01
      5            4.023111e-01
      6            3.999356e-01
      7            3.869521e-01
      8            3.833467e-01
      9            3.652989e-01
     10            3.628807e-01
     11            3.607548e-01
     12            3.505872e-01
     13            3.504563e-01
     14            3.429129e-01
     15            3.428221e-01
     16            3.428021e-01
     17            2.996963e-01
     18            2.979428e-01
     19            2.874027e-01
     20            2.871101e-01
     21            2.869431e-01
     22            2.712854e-01
     23            2.710630e-01
     24            2.499544e-01
     25            2.499464e-01
# GCROT residual history
# residual tolerance target = 1.000000e-04
# initial residual norm     = 5.544667e+00
# iters            rel. res.
      0            6.961749e-01
      1            6.458839e-01
      2            6.329809e-01
      3            5.988613e-01
      4            4.442726e-01
      5            4.379503e-01
      6            4.355805e-01
      7            4.320743e-01
      8            4.263813e-01
      9            3.525352e-01
     10            3.452086e-01
     11            3.382296e-01
     12            2.993350e-01
     13            2.976221e-01
     14            2.961843e-01
     15            2.803640e-01
     16            2.683660e-01
     17            2.675761e-01
     18            2.659638e-01
     19            2.456881e-01
     20            2.403945e-01
     21            2.400921e-01
     22            1.615837e-01
     23            1.588837e-01
     24            1.480937e-01
     25            1.480433e-01
# GCROT residual history
# residual tolerance target = 1.000000e-04
# initial residual norm     = 6.103057e+00
# iters            rel. res.
      0            7.355658e-01
      1            6.135539e-01
      2            5.008230e-01
      3            4.897782e-01
      4            4.184895e-01
      5            4.174671e-01
      6            4.164917e-01
      7            3.999462e-01
      8            3.892170e-01
      9            3.699387e-01
     10            3.629635e-01
     11            3.621644e-01
     12            2.834580e-01
     13            2.795535e-01
     14            2.505859e-01
     15            2.499621e-01
     16            2.497679e-01
     17            2.278525e-01
     18            2.276147e-01
     19            2.176068e-01
     20            1.996117e-01
     21            1.996108e-01
     22            1.921839e-01
     23            1.918832e-01
     24            1.693917e-01
     25            1.628063e-01
# GCROT residual history
# residual tolerance target = 1.000000e-04
# initial residual norm     = 5.691301e+00
# iters            rel. res.
      0            6.630291e-01
      1            6.155486e-01
      2            5.846060e-01
      3            4.583656e-01
      4            4.046867e-01
      5            4.038057e-01
      6            4.030068e-01
      7            3.583863e-01
      8            3.537612e-01
      9            3.452355e-01
     10            3.451069e-01
     11            3.450363e-01
     12            3.151957e-01
     13            3.141330e-01
     14            2.755562e-01
     15            2.753819e-01
     16            2.752827e-01
     17            2.547217e-01
     18            2.523141e-01
     19            2.503171e-01
     20            2.317335e-01
     21            2.263341e-01
     22            2.090011e-01
     23            2.027829e-01
     24            1.689972e-01
     25            1.606546e-01
# GCROT residual history
# residual tolerance target = 1.000000e-04
# initial residual norm     = 6.240803e+00
# iters            rel. res.
      0            7.106795e-01
      1            6.251978e-01
      2            5.673427e-01
      3            5.597583e-01
      4            2.951862e-01
      5            2.539446e-01
      6            2.251989e-01
      7            2.017589e-01
      8            1.953808e-01
      9            1.833346e-01
     10            1.476325e-01
     11            1.450076e-01
     12            1.322031e-01
     13            1.290966e-01
     14            1.284138e-01
     15            1.273212e-01
     16            1.263397e-01
     17            1.251736e-01
     18            1.204249e-01
     19            1.036678e-01
     20            1.020265e-01
     21            1.007130e-01
     22            8.684678e-02
     23            8.439588e-02
     24            8.310215e-02
     25            8.307354e-02
# GCROT residual history
# residual tolerance target = 1.000000e-04
# initial residual norm     = 6.185336e+00
# iters            rel. res.
      0            6.915546e-01
      1            6.629162e-01
      2            6.466807e-01
      3            5.431389e-01
      4            2.950899e-01
      5            2.708234e-01
      6            2.553086e-01
      7            2.477236e-01
      8            1.971772e-01
      9            1.576071e-01
     10            1.476264e-01
     11            1.414112e-01
     12            1.194859e-01
     13            1.080469e-01
     14            1.034257e-01
     15            8.886742e-02
     16            8.176948e-02
     17            8.176947e-02
     18            7.238702e-02
     19            7.016023e-02
     20            6.575059e-02
     21            6.374755e-02
     22            6.192177e-02
     23            5.801708e-02
     24            5.602803e-02
     25            5.584367e-02
# GCROT residual history
# residual tolerance target = 1.000000e-04
# initial residual norm     = 6.522010e+00
# iters            rel. res.
      0            7.159233e-01
      1            6.405727e-01
      2            5.298497e-01
      3            5.275363e-01
      4            3.663378e-01
      5            3.289372e-01
      6            3.050481e-01
      7            2.849640e-01
      8            2.849422e-01
      9            2.511902e-01
     10            2.428810e-01
     11            2.365735e-01
     12            2.083660e-01
     13            2.069727e-01
     14            1.884928e-01
     15            1.860595e-01
     16            1.846781e-01
     17            1.721593e-01
     18            1.715177e-01
     19            1.466862e-01
     20            1.423525e-01
     21            1.408143e-01
     22            1.378653e-01
     23            1.154189e-01
     24            1.139647e-01
     25            1.139597e-01
# GCROT residual history
# residual tolerance target = 1.000000e-04
# initial residual norm     = 5.176029e+00
# iters            rel. res.
      0            5.662322e-01
      1            5.336331e-01
      2            5.218151e-01
      3            3.636904e-01
      4            3.618304e-01
      5            3.209497e-01
      6            3.174551e-01
      7            3.046883e-01
      8            2.998173e-01
      9            2.361147e-01
     10            2.327972e-01
     11            2.297223e-01
     12            2.052552e-01
     13            2.051450e-01
     14            2.020062e-01
     15            2.009026e-01
     16            2.005693e-01
     17            1.834938e-01
     18            1.834875e-01
     19            1.708288e-01
     20            1.702600e-01
     21            1.698434e-01
     22            1.582692e-01
     23            1.564162e-01
     24            1.424158e-01
     25            1.214090e-01
# GCROT residual history
# residual tolerance target = 1.000000e-04
# initial residual norm     = 7.479309e+00
# iters            rel. res.
      0            8.154702e-01
      1            7.631390e-01
      2            7.105950e-01
      3            7.032226e-01
      4            5.422276e-01
      5            5.417651e-01
      6            5.414263e-01
      7            4.981129e-01
      8            4.324554e-01
      9            3.939045e-01
     10            3.856346e-01
     11            3.836888e-01
     12            2.365933e-01
     13            2.109869e-01
     14            2.028081e-01
     15            2.002832e-01
     16            1.980547e-01
     17            1.886179e-01
     18            1.708249e-01
     19            1.181216e-01
     20            1.166480e-01
     21            1.154361e-01
     22            1.005832e-01
     23            9.992969e-02
     24            9.771883e-02
     25            9.014240e-02
# GCROT residual history
# residual tolerance target = 1.000000e-04
# initial residual norm     = 5.216874e+00
# iters            rel. res.
      0            5.668187e-01
      1            5.373045e-01
      2            5.278402e-01
      3            4.678839e-01
      4            3.835455e-01
      5            3.813334e-01
      6            3.799998e-01
      7            3.717306e-01
      8            3.675554e-01
      9            3.177254e-01
     10            3.174904e-01
     11            3.172569e-01
     12            2.845573e-01
     13            2.819117e-01
     14            2.785939e-01
     15            2.765001e-01
     16            2.758551e-01
     17            2.671402e-01
     18            2.671338e-01
     19            2.626939e-01
     20            2.600570e-01
     21            2.599766e-01
     22            1.977907e-01
     23            1.966822e-01
     24            1.841643e-01
     25            1.675943e-01
# GCROT residual history
# residual tolerance target = 1.000000e-04
# initial residual norm     = 7.592038e+00
# iters            rel. res.
      0            8.220704e-01
      1            7.764308e-01
      2            7.104970e-01
      3            6.977309e-01
      4            3.485238e-01
      5            2.996273e-01
      6            2.844672e-01
      7            2.703533e-01
      8            2.342845e-01
      9            2.101011e-01
     10            2.023640e-01
     11            1.993269e-01
     12            1.755342e-01
     13            1.721058e-01
     14            1.711413e-01
     15            1.711045e-01
     16            1.710715e-01
     17            1.699364e-01
     18            1.662356e-01
     19            1.539505e-01
     20            1.533757e-01
     21            1.529660e-01
     22            1.424760e-01
     23            1.421088e-01
     24            1.396983e-01
     25            1.371722e-01
# GCROT residual history
# residual tolerance target = 1.000000e-04
# initial residual norm     = 4.762243e+00
# iters            rel. res.
      0            7.758842e-01
      1            7.495781e-01
      2            7.493158e-01
      3            5.342770e-01
      4            5.252856e-01
      5            4.961866e-01
      6            4.753566e-01
      7            4.685292e-01
      8            4.466694e-01
      9            3.594534e-01
     10            3.569289e-01
     11            3.551706e-01
     12            2.890054e-01
     13            2.837963e-01
     14            2.824047e-01
     15            2.769538e-01
     16            2.721170e-01
     17            2.708900e-01
     18            2.672888e-01
     19            2.355847e-01
     20            2.334930e-01
     21            2.314589e-01
     22            2.041567e-01
     23            1.906859e-01
     24            1.885220e-01
     25            1.800656e-01
# GCROT residual history
# residual tolerance target = 1.000000e-04
# initial residual norm     = 4.160314e+00
# iters            rel. res.
      0            6.915221e-01
      1            6.368540e-01
      2            5.280006e-01
      3            5.278052e-01
      4            3.720645e-01
      5            3.714701e-01
      6            3.709165e-01
      7            3.206941e-01
      8            3.106128e-01
      9            2.636685e-01
     10            2.630755e-01
     11            2.625120e-01
     12            2.061873e-01
     13            2.047753e-01
     14            1.770974e-01
     15            1.752965e-01
     16            1.742702e-01
     17            1.596001e-01
     18            1.570649e-01
     19            1.563265e-01
     20            1.563204e-01
     21            1.563176e-01
     22            1.541358e-01
     23            1.442764e-01
     24            1.412562e-01
     25            1.411836e-01
# GCROT residual history
# residual tolerance target = 1.000000e-04
# initial residual norm     = 4.051755e+00
# iters            rel. res.
      0            6.669472e-01
      1            6.546031e-01
      2            6.200169e-01
      3            4.553825e-01
      4            4.495350e-01
      5            4.099115e-01
      6            3.859006e-01
      7            3.856401e-01
      8            3.750963e-01
      9            3.388804e-01
     10            3.360086e-01
     11            3.353682e-01
     12            3.112368e-01
     13            3.111584e-01
     14            3.074493e-01
     15            3.039717e-01
     16            3.035739e-01
     17            2.653673e-01
     18            2.458966e-01
     19            2.257687e-01
     20            2.222836e-01
     21            2.198663e-01
     22            2.120851e-01
     23            1.986079e-01
     24            1.957409e-01
     25            1.955369e-01
# GCROT residual history
# residual tolerance target = 1.000000e-04
# initial residual norm     = 4.810025e+00
# iters            rel. res.
      0            7.753485e-01
      1            7.197391e-01
      2            6.417614e-01
      3            6.356079e-01
      4            3.685584e-01
      5            3.682490e-01
      6            3.680081e-01
      7            3.344111e-01
      8            2.940362e-01
      9            2.884528e-01
     10            2.840686e-01
     11            2.800180e-01
     12            2.745110e-01
     13            2.427934e-01
     14            2.263892e-01
     15            2.201049e-01
     16            2.191707e-01
     17            1.928107e-01
     18            1.822156e-01
     19            1.801436e-01
     20            1.615615e-01
     21            1.533291e-01
     22            1.532657e-01
     23            1.452224e-01
     24            1.437566e-01
     25            1.365665e-01
# GCROT residual history
# residual tolerance target = 1.000000e-04
# initial residual norm     = 3.780817e+00
# iters            rel. res.
      0            5.959024e-01
      1            5.898889e-01
      2            5.209160e-01
      3            5.204393e-01
      4            4.171084e-01
      5            3.918649e-01
      6            3.689194e-01
      7            3.320711e-01
      8            2.824104e-01
      9            2.614670e-01
     10            2.505723e-01
     11            2.417730e-01
     12            2.252218e-01
     13            1.988230e-01
     14            1.887122e-01
